YY,MM,DD,hh,mm,WTMP
2013,04,27,14,50,10.1
2013,04,27,15,50,10.1
2013,04,27,16,50,10.2
2013,04,27,17,50,10.6
2013,04,27,18,50,10.8
2013,04,27,19,50,11.0
2013,04,27,20,50,10.8
2013,04,27,21,50,10.3
2013,04,27,22,50,10.6
2013,04,27,23,50,10.9
2013,04,28,00,50,11.0
2013,04,28,01,50,10.9
2013,04,28,02,50,10.2
2013,04,28,03,50,10.4
2013,04,28,04,50,10.4
2013,04,28,05,50,10.3
2013,04,28,06,50,10.2
2013,04,28,07,50,10.2
2013,04,28,08,50,10.2
2013,04,28,09,50,10.1
2013,04,28,10,50,10.3
2013,04,28,11,50,10.3
2013,04,28,12,50,10.7
2013,04,28,13,50,10.9
2013,04,28,14,50,10.9
2013,04,28,15,50,11.0
2013,04,28,16,50,11.1
2013,04,28,17,50,11.4
2013,04,28,18,50,11.9
2013,04,28,19,50,12.5
2013,04,28,20,50,12.3
2013,04,28,21,50,12.7
2013,04,28,22,50,12.7
2013,04,28,23,50,12.7
2013,04,29,00,50,12.7
2013,04,29,01,50,12.8
2013,04,29,02,50,12.3
2013,04,29,03,50,11.9
2013,04,29,04,50,11.8
2013,04,29,05,50,11.8
2013,04,29,06,50,
2013,04,29,07,50,11.4
2013,04,29,08,50,11.3
2013,04,29,09,50,11.2
2013,04,29,10,50,11.6
2013,04,29,11,50,11.7
2013,04,29,12,50,11.6
2013,04,29,13,50,11.6
2013,04,29,14,50,11.7
2013,04,29,15,50,11.5
2013,04,29,16,50,
2013,04,29,17,50,11.4
2013,04,29,18,50,11.2
2013,04,29,19,50,11.1
2013,04,29,20,50,11.3
2013,04,29,21,50,11.4
2013,04,29,22,50,11.5
2013,04,29,23,50,11.5
2013,04,30,00,50,11.5
2013,04,30,01,50,11.6
2013,04,30,02,50,11.6
2013,04,30,03,50,11.6
2013,04,30,04,50,11.6
2013,04,30,05,50,11.6
2013,04,30,06,50,11.4
2013,04,30,07,50,11.4
2013,04,30,08,50,11.5
2013,04,30,09,50,11.4
2013,04,30,10,50,11.4
2013,04,30,11,50,11.3
2013,04,30,12,50,11.2
2013,04,30,13,50,11.1
2013,04,30,14,50,11.1
2013,04,30,15,50,11.0
2013,04,30,16,50,11.0
2013,04,30,17,50,11.0
2013,04,30,18,50,11.0
2013,04,30,19,50,11.1
2013,04,30,20,50,11.2
2013,04,30,21,50,11.3
2013,04,30,22,50,11.4
2013,04,30,23,50,11.4
2013,05,01,00,50,11.4
2013,05,01,01,50,11.4
2013,05,01,02,50,11.4
2013,05,01,03,50,11.2
2013,05,01,04,50,11.2
2013,05,01,05,50,10.8
2013,05,01,06,50,10.6
2013,05,01,07,50,10.4
2013,05,01,08,50,10.2
2013,05,01,09,50,10.0
2013,05,01,10,50,9.6
2013,05,01,11,50,9.5
2013,05,01,12,50,9.4
2013,05,01,13,50,9.5
2013,05,01,14,50,9.4
2013,05,01,15,50,9.5
2013,05,01,16,50,9.5
2013,05,01,17,50,9.4
2013,05,01,18,50,9.5
2013,05,01,19,50,9.6
2013,05,01,20,50,9.8
2013,05,01,21,50,9.8
2013,05,01,22,50,10.1
2013,05,01,23,50,10.0
2013,05,02,00,50,10.1
2013,05,02,01,50,10.3
2013,05,02,02,50,10.2
2013,05,02,03,50,10.3
2013,05,02,04,50,10.1
2013,05,02,05,50,9.7
2013,05,02,06,50,9.6
2013,05,02,07,50,9.4
2013,05,02,08,50,9.3
2013,05,02,09,50,9.3
2013,05,02,10,50,9.3
2013,05,02,11,50,9.2
2013,05,02,12,50,9.2
2013,05,02,13,50,9.2
2013,05,02,14,50,9.3
2013,05,02,15,50,9.3
2013,05,02,16,50,9.5
2013,05,02,17,50,9.6
2013,05,02,18,50,9.8
2013,05,02,19,50,9.7
2013,05,02,20,50,10.1
2013,05,02,21,50,10.0
2013,05,02,22,50,9.9
2013,05,02,23,50,9.6
2013,05,03,00,50,9.5
2013,05,03,01,50,9.5
2013,05,03,02,50,9.6
2013,05,03,03,50,9.7
2013,05,03,04,50,9.5
2013,05,03,05,50,9.4
2013,05,03,06,50,9.3
2013,05,03,07,50,9.3
2013,05,03,08,50,9.3
2013,05,03,09,50,9.3
2013,05,03,10,50,9.2
2013,05,03,11,50,9.1
2013,05,03,12,50,9.1
2013,05,03,13,50,9.1
2013,05,03,14,50,9.2
2013,05,03,15,50,9.2
2013,05,03,16,50,9.3
2013,05,03,17,50,9.4
2013,05,03,18,50,9.6
2013,05,03,19,50,9.8
2013,05,03,20,50,10.0
2013,05,03,21,50,10.0
2013,05,03,22,50,10.0
2013,05,03,23,50,9.8
2013,05,04,00,50,9.7
2013,05,04,01,50,9.6
2013,05,04,02,50,9.5
2013,05,04,03,50,9.5
2013,05,04,04,50,9.3
2013,05,04,05,50,9.3
2013,05,04,06,50,9.2
2013,05,04,07,50,9.1
2013,05,04,08,50,9.0
2013,05,04,09,50,8.8
2013,05,04,10,50,8.8
2013,05,04,11,50,8.8
2013,05,04,12,50,8.8
2013,05,04,13,50,9.0
2013,05,04,14,50,9.1
2013,05,04,15,50,9.2
2013,05,04,16,50,9.3
2013,05,04,17,50,9.3
2013,05,04,18,50,9.3
2013,05,04,19,50,9.2
2013,05,04,20,50,9.1
2013,05,04,21,50,9.1
2013,05,04,22,50,9.3
2013,05,04,23,50,9.3
2013,05,05,00,50,9.3
2013,05,05,01,50,9.3
2013,05,05,02,50,9.3
2013,05,05,03,50,9.3
2013,05,05,04,50,9.4
2013,05,05,05,50,9.3
2013,05,05,06,50,9.3
2013,05,05,07,50,8.9
2013,05,05,08,50,8.8
2013,05,05,09,50,8.8
2013,05,05,10,50,8.9
2013,05,05,11,50,8.9
2013,05,05,12,50,9.0
2013,05,05,13,50,9.0
2013,05,05,14,50,9.1
2013,05,05,15,50,9.2
2013,05,05,16,50,9.3
2013,05,05,17,50,9.4
2013,05,05,18,50,9.4
2013,05,05,19,50,9.5
2013,05,05,20,50,9.9
2013,05,05,21,50,10.0
2013,05,05,22,50,10.1
2013,05,05,23,50,10.1
2013,05,06,00,50,10.0
2013,05,06,01,50,10.1
2013,05,06,02,50,9.8
2013,05,06,03,50,9.7
2013,05,06,04,50,9.7
2013,05,06,05,50,9.9
2013,05,06,06,50,9.9
2013,05,06,07,50,10.0
2013,05,06,08,50,10.2
2013,05,06,09,50,10.0
2013,05,06,10,50,9.8
2013,05,06,11,50,9.9
2013,05,06,12,50,10.0
2013,05,06,13,50,10.1
2013,05,06,14,50,10.4
2013,05,06,15,50,10.6
2013,05,06,16,50,10.6
2013,05,06,17,50,10.7
2013,05,06,18,50,11.0
2013,05,06,19,50,11.2
2013,05,06,20,50,11.5
2013,05,06,21,50,11.7
2013,05,06,22,50,11.7
2013,05,06,23,50,11.6
2013,05,07,00,50,11.5
2013,05,07,01,50,11.4
2013,05,07,02,50,11.6
2013,05,07,03,50,11.7
2013,05,07,04,50,11.6
2013,05,07,05,50,11.6
2013,05,07,06,50,11.5
2013,05,07,07,50,11.5
2013,05,07,08,50,11.3
2013,05,07,09,50,11.3
2013,05,07,10,50,11.4
2013,05,07,11,50,11.5
2013,05,07,12,50,11.5
2013,05,07,13,50,11.3
2013,05,07,14,50,11.2
2013,05,07,15,50,11.3
2013,05,07,16,50,11.4
2013,05,07,17,50,11.4
2013,05,07,18,50,11.2
2013,05,07,19,50,11.5
2013,05,07,20,50,11.5
2013,05,07,21,50,11.6
2013,05,07,22,50,11.6
2013,05,07,23,50,11.6
2013,05,08,00,50,11.7
2013,05,08,01,50,11.8
2013,05,08,02,50,11.8
2013,05,08,03,50,11.7
2013,05,08,04,50,11.6
2013,05,08,05,50,11.6
2013,05,08,06,50,11.7
2013,05,08,07,50,11.7
2013,05,08,08,50,11.6
2013,05,08,09,50,11.7
2013,05,08,10,50,11.7
2013,05,08,11,50,11.8
2013,05,08,12,50,11.7
2013,05,08,13,50,11.7
2013,05,08,14,50,11.7
2013,05,08,15,50,11.7
2013,05,08,16,50,11.7
2013,05,08,17,50,11.7
2013,05,08,18,50,11.7
2013,05,08,19,50,11.8
2013,05,08,20,50,12.1
2013,05,08,21,50,12.2
2013,05,08,22,50,12.5
2013,05,08,23,50,12.4
2013,05,09,00,50,12.3
2013,05,09,01,50,12.1
2013,05,09,02,50,12.1
2013,05,09,03,50,12.1
2013,05,09,04,50,12.1
2013,05,09,05,50,12.1
2013,05,09,06,50,12.1
2013,05,09,07,50,12.0
2013,05,09,08,50,11.9
2013,05,09,09,50,11.9
2013,05,09,10,50,12.0
2013,05,09,11,50,12.0
2013,05,09,12,50,12.0
2013,05,09,13,50,12.0
2013,05,09,14,50,12.0
2013,05,09,15,50,12.0
2013,05,09,16,50,12.0
2013,05,09,17,50,12.0
2013,05,09,18,50,12.1
2013,05,09,19,50,12.1
2013,05,09,20,50,12.1
2013,05,09,21,50,12.2
2013,05,09,22,50,12.2
2013,05,09,23,50,12.3
2013,05,10,00,50,12.3
2013,05,10,01,50,12.2
2013,05,10,02,50,12.2
2013,05,10,03,50,12.1
2013,05,10,04,50,12.1
2013,05,10,05,50,12.0
2013,05,10,06,50,12.0
2013,05,10,07,50,12.0
2013,05,10,08,50,11.9
2013,05,10,09,50,11.9
2013,05,10,10,50,11.9
2013,05,10,11,50,11.8
2013,05,10,12,50,11.8
2013,05,10,13,50,11.8
2013,05,10,14,50,11.8
2013,05,10,15,50,11.8
2013,05,10,16,50,11.9
2013,05,10,17,50,12.0
2013,05,10,18,50,12.4
2013,05,10,19,50,12.6
2013,05,10,20,50,12.8
2013,05,10,21,50,12.7
2013,05,10,22,50,12.8
2013,05,10,23,50,12.9
2013,05,11,00,50,12.9
2013,05,11,01,50,12.8
2013,05,11,02,50,12.7
2013,05,11,03,50,12.5
2013,05,11,04,50,12.4
2013,05,11,05,50,12.4
2013,05,11,06,50,12.2
2013,05,11,07,50,12.4
2013,05,11,08,50,12.2
2013,05,11,09,50,12.3
2013,05,11,10,50,12.3
2013,05,11,11,50,12.3
2013,05,11,12,50,12.3
2013,05,11,13,50,12.3
2013,05,11,14,50,12.3
2013,05,11,15,50,12.4
2013,05,11,16,50,12.5
2013,05,11,17,50,12.6
2013,05,11,18,50,12.8
2013,05,11,19,50,12.9
2013,05,11,20,50,13.0
2013,05,11,21,50,13.3
2013,05,11,22,50,13.2
2013,05,11,23,50,13.7
2013,05,12,00,50,14.0
2013,05,12,01,50,13.8
2013,05,12,02,50,13.4
2013,05,12,03,50,13.2
2013,05,12,04,50,12.7
2013,05,12,05,50,12.6
2013,05,12,06,50,12.8
2013,05,12,07,50,13.1
2013,05,12,08,50,13.1
2013,05,12,09,50,13.3
2013,05,12,10,50,13.0
2013,05,12,11,50,12.9
2013,05,12,12,50,12.9
2013,05,12,13,50,12.8
2013,05,12,14,50,12.8
2013,05,12,15,50,12.8
2013,05,12,16,50,12.7
2013,05,12,17,50,12.8
2013,05,12,18,50,12.8
2013,05,12,19,50,12.9
2013,05,12,20,50,13.0
2013,05,12,21,50,13.1
2013,05,12,22,50,13.0
2013,05,12,23,50,13.0
2013,05,13,00,50,12.9
2013,05,13,01,50,12.8
2013,05,13,02,50,12.8
2013,05,13,03,50,12.8
2013,05,13,04,50,12.8
2013,05,13,05,50,12.8
2013,05,13,06,50,12.9
2013,05,13,07,50,12.9
2013,05,13,08,50,12.9
2013,05,13,09,50,12.9
2013,05,13,10,50,12.9
2013,05,13,11,50,13.0
2013,05,13,12,50,13.0
2013,05,13,13,50,12.9
2013,05,13,14,50,12.9
2013,05,13,15,50,12.9
2013,05,13,16,50,12.7
2013,05,13,17,50,12.4
2013,05,13,18,50,12.6
2013,05,13,19,50,12.7
2013,05,13,20,50,12.9
2013,05,13,21,50,12.9
2013,05,13,22,50,13.0
2013,05,13,23,50,13.0
2013,05,14,00,50,13.1
2013,05,14,01,50,13.1
2013,05,14,02,50,13.0
2013,05,14,03,50,13.0
2013,05,14,04,50,13.0
2013,05,14,05,50,13.0
2013,05,14,06,50,12.9
2013,05,14,07,50,12.9
2013,05,14,08,50,12.9
2013,05,14,09,50,12.9
2013,05,14,10,50,12.8
2013,05,14,11,50,12.8
2013,05,14,12,50,12.7
2013,05,14,13,50,12.8
2013,05,14,14,50,12.8
2013,05,14,15,50,12.9
2013,05,14,16,50,13.1
2013,05,14,17,50,13.4
2013,05,14,18,50,13.7
2013,05,14,19,50,13.9
2013,05,14,20,50,14.0
2013,05,14,21,50,13.8
2013,05,14,22,50,13.9
2013,05,14,23,50,13.8
2013,05,15,00,50,13.5
2013,05,15,01,50,13.3
2013,05,15,02,50,13.3
2013,05,15,03,50,13.3
2013,05,15,04,50,13.3
2013,05,15,05,50,13.2
2013,05,15,06,50,13.1
2013,05,15,07,50,13.1
2013,05,15,08,50,13.0
2013,05,15,09,50,13.1
2013,05,15,10,50,13.2
2013,05,15,11,50,13.2
2013,05,15,12,50,13.1
2013,05,15,13,50,13.0
2013,05,15,14,50,12.8
2013,05,15,15,50,12.8
2013,05,15,16,50,12.9
2013,05,15,17,50,12.8
2013,05,15,18,50,12.8
2013,05,15,19,50,12.9
2013,05,15,20,50,13.0
2013,05,15,21,50,13.1
2013,05,15,22,50,13.2
2013,05,15,23,50,13.1
2013,05,16,00,50,13.1
2013,05,16,01,50,13.1
2013,05,16,02,50,13.2
2013,05,16,03,50,13.2
2013,05,16,04,50,13.2
2013,05,16,05,50,13.2
2013,05,16,06,50,13.2
2013,05,16,07,50,13.1
2013,05,16,08,50,13.1
2013,05,16,09,50,13.1
2013,05,16,10,50,13.0
2013,05,16,11,50,12.9
2013,05,16,12,50,12.8
2013,05,16,13,50,12.8
2013,05,16,14,50,12.8
2013,05,16,15,50,12.8
2013,05,16,16,50,12.9
2013,05,16,17,50,13.0
2013,05,16,18,50,13.3
2013,05,16,19,50,13.3
2013,05,16,20,50,13.3
2013,05,16,21,50,13.2
2013,05,16,22,50,13.3
2013,05,16,23,50,13.3
2013,05,17,00,50,13.2
2013,05,17,01,50,13.2
2013,05,17,02,50,13.2
2013,05,17,03,50,13.1
2013,05,17,04,50,13.2
2013,05,17,05,50,13.1
2013,05,17,06,50,13.1
2013,05,17,07,50,13.1
2013,05,17,08,50,13.1
2013,05,17,09,50,12.9
2013,05,17,10,50,12.9
2013,05,17,11,50,12.9
2013,05,17,12,50,12.9
2013,05,17,13,50,13.0
2013,05,17,14,50,12.9
2013,05,17,15,50,13.0
2013,05,17,16,50,13.0
2013,05,17,17,50,12.9
2013,05,17,18,50,13.0
2013,05,17,19,50,13.1
2013,05,17,20,50,13.1
2013,05,17,21,50,13.3
2013,05,17,22,50,13.3
2013,05,17,23,50,13.5
2013,05,18,00,50,
2013,05,18,01,50,13.5
2013,05,18,02,50,13.5
2013,05,18,03,50,13.4
2013,05,18,04,50,13.3
2013,05,18,05,50,13.2
2013,05,18,06,50,13.2
2013,05,18,07,50,13.2
2013,05,18,08,50,13.2
2013,05,18,09,50,13.1
2013,05,18,10,50,13.1
2013,05,18,11,50,13.1
2013,05,18,12,50,13.1
2013,05,18,13,50,13.0
2013,05,18,14,50,13.0
2013,05,18,15,50,12.9
2013,05,18,16,50,12.9
2013,05,18,17,50,12.9
2013,05,18,18,50,12.9
2013,05,18,19,50,12.9
2013,05,18,20,50,12.9
2013,05,18,21,50,13.1
2013,05,18,22,50,13.0
2013,05,18,23,50,13.0
2013,05,19,00,50,13.0
2013,05,19,01,50,13.1
2013,05,19,02,50,13.1
2013,05,19,03,50,13.0
2013,05,19,04,50,12.7
2013,05,19,05,50,12.4
2013,05,19,06,50,12.2
2013,05,19,07,50,12.1
2013,05,19,08,50,12.1
2013,05,19,09,50,12.0
2013,05,19,10,50,11.8
2013,05,19,11,50,11.6
2013,05,19,12,50,11.5
2013,05,19,13,50,11.5
2013,05,19,14,50,11.5
2013,05,19,15,50,11.6
2013,05,19,16,50,11.7
2013,05,19,17,50,11.8
2013,05,19,18,50,11.9
2013,05,19,19,50,12.0
2013,05,19,20,50,11.9
2013,05,19,21,50,12.1
2013,05,19,22,50,12.0
2013,05,19,23,50,12.0
2013,05,20,00,50,12.0
2013,05,20,01,50,12.2
2013,05,20,02,50,12.2
2013,05,20,03,50,12.1
2013,05,20,04,50,11.8
2013,05,20,05,50,11.7
2013,05,20,06,50,11.7
2013,05,20,07,50,11.6
2013,05,20,08,50,11.4
2013,05,20,09,50,11.4
2013,05,20,10,50,11.4
2013,05,20,11,50,11.4
2013,05,20,12,50,11.4
2013,05,20,13,50,11.4
2013,05,20,14,50,11.4
2013,05,20,15,50,11.4
2013,05,20,16,50,11.6
2013,05,20,17,50,11.7
2013,05,20,18,50,11.8
2013,05,20,19,50,11.8
2013,05,20,20,50,11.8
2013,05,20,21,50,11.9
2013,05,20,22,50,11.9
2013,05,20,23,50,12.0
2013,05,21,00,50,12.2
2013,05,21,01,50,12.2
2013,05,21,02,50,12.1
2013,05,21,03,50,12.1
2013,05,21,04,50,12.1
2013,05,21,05,50,12.1
2013,05,21,06,50,12.1
2013,05,21,07,50,12.1
2013,05,21,08,50,12.1
2013,05,21,09,50,12.1
2013,05,21,10,50,12.1
2013,05,21,11,50,12.1
2013,05,21,12,50,12.1
2013,05,21,13,50,12.1
2013,05,21,14,50,12.1
2013,05,21,15,50,12.1
2013,05,21,16,50,12.1
2013,05,21,17,50,12.1
2013,05,21,18,50,11.9
2013,05,21,19,50,11.8
2013,05,21,20,50,11.7
2013,05,21,21,50,11.7
2013,05,21,22,50,11.6
2013,05,21,23,50,11.7
2013,05,22,00,50,11.7
2013,05,22,01,50,11.8
2013,05,22,02,50,
2013,05,22,03,50,11.6
2013,05,22,04,50,11.6
2013,05,22,05,50,11.6
2013,05,22,06,50,11.6
2013,05,22,07,50,11.6
2013,05,22,08,50,11.7
2013,05,22,09,50,11.7
2013,05,22,10,50,11.6
2013,05,22,11,50,11.6
2013,05,22,12,50,11.6
2013,05,22,13,50,11.6
2013,05,22,14,50,11.6
2013,05,22,15,50,11.6
2013,05,22,16,50,11.6
2013,05,22,17,50,11.7
2013,05,22,18,50,11.8
2013,05,22,19,50,11.8
2013,05,22,20,50,11.8
2013,05,22,21,50,11.8
2013,05,22,22,50,11.8
2013,05,22,23,50,11.8
